t,x,y,z,vx,vy,vz,speed,roll,pitch,yaw,roll_target,pitch_target,yaw_target,altitude_target,p,q,r,ax,ay,az,m1,m2,m3,m4,thrust_total_n,power_total_w,current_total_a,power_m1_w,power_m2_w,power_m3_w,power_m4_w,current_m1_a,current_m2_a,current_m3_a,current_m4_a
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.720630,0.968378,0.968378,1.000000,1.000000,29.066351,686.917202,46.413324,163.458601,163.458601,180.000000,180.000000,11.044500,11.044500,12.162162,12.162162
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117206,0.117206,0.000000,-0.000000,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.072306,0.000000,0.000000,0.000000,11.912092,0.979032,0.979032,1.000000,1.000000,29.377567,697.826503,47.150439,168.913252,168.913252,180.000000,180.000000,11.413058,11.413058,12.162162,12.162162
0.020000,0.000000,0.000000,0.001172,0.000000,0.000000,0.236327,0.236327,0.000000,0.000723,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.119822,0.000000,0.015864,0.000000,12.033422,0.986407,0.986407,1.000000,1.000000,29.594974,705.517940,47.670131,172.758970,172.758970,180.000000,180.000000,11.672903,11.672903,12.162162,12.162162
0.030000,0.000000,0.000000,0.003535,0.000159,0.000000,0.356661,0.356661,0.000000,0.001921,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.150048,0.000000,0.042320,0.000000,12.105470,0.991512,0.991512,1.000000,1.000000,29.746437,710.910416,48.034488,175.455208,175.455208,180.000000,180.000000,11.855082,11.855082,12.162162,12.162162
0.040000,0.000002,0.000000,0.007102,0.000582,0.000000,0.477716,0.477716,0.000000,0.003422,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.168256,0.000000,0.075547,0.000000,12.142900,0.995040,0.995040,1.000000,1.000000,29.851563,714.669507,48.288480,177.334753,177.334753,180.000000,180.000000,11.982078,11.982078,12.162162,12.162162
0.050000,0.000007,0.000000,0.011879,0.001337,0.000000,0.599145,0.599147,0.000000,0.005104,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.178150,0.000000,0.112824,0.000000,12.156031,0.997468,0.997468,1.000000,1.000000,29.924147,717.272757,48.464375,178.636379,178.636379,180.000000,180.000000,12.070026,12.070026,12.162162,12.162162
0.060000,0.000021,0.000000,0.017871,0.002466,0.000000,0.720705,0.720710,0.000000,0.006886,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.182327,0.000000,0.152247,0.000000,12.152123,0.999129,0.999129,1.000000,1.000000,29.973895,719.060644,48.585179,179.530322,179.530322,180.000000,180.000000,12.130427,12.130427,12.162162,12.162162
0.070000,0.000045,0.000000,0.025078,0.003988,0.000000,0.842227,0.842236,0.000000,0.008709,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.182613,0.000000,0.192403,0.000000,12.124980,1.000000,1.000000,0.999745,0.999745,29.992365,719.725191,48.630081,180.000000,180.000000,179.862596,179.862596,12.162162,12.162162,12.152878,12.152878
0.080000,0.000085,0.000000,0.033500,0.005912,0.000000,0.963476,0.963495,0.000000,0.010535,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.180282,0.000000,0.232220,0.000000,12.067483,1.000000,1.000000,0.998994,0.998994,29.969834,718.914554,48.575308,180.000000,180.000000,179.457277,179.457277,12.162162,12.162162,12.125492,12.125492
0.090000,0.000144,0.000000,0.043135,0.008234,0.000000,1.084151,1.084183,0.000000,0.012338,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.176229,0.000000,0.271398,0.000000,12.015910,1.000000,1.000000,0.998503,0.998503,29.955132,718.385971,48.539593,180.000000,180.000000,179.192985,179.192985,12.162162,12.162162,12.107634,12.107634
0.100000,0.000227,0.000000,0.053976,0.010948,0.000000,1.204310,1.204360,0.000000,0.014100,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.171076,0.000000,0.309563,0.000000,11.968491,1.000000,1.000000,0.998195,0.998195,29.945888,718.053727,48.517144,180.000000,180.000000,179.026864,179.026864,12.162162,12.162162,12.096410,12.096410
0.110000,0.000336,0.000000,0.066019,0.014044,0.000000,1.323995,1.324070,0.000000,0.015811,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.165256,0.000000,0.346475,0.000000,11.923986,1.000000,1.000000,0.998012,0.998012,29.940433,717.857713,48.503900,180.000000,180.000000,178.928856,178.928856,12.162162,12.162162,12.089788,12.089788
0.120000,0.000477,0.000000,0.079259,0.017509,0.000000,1.443235,1.443341,0.000000,0.017464,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.159069,0.000000,0.381988,0.000000,11.881527,1.000000,1.000000,0.997918,0.997918,29.937595,717.755768,48.497011,180.000000,180.000000,178.877884,178.877884,12.162162,12.162162,12.086344,12.086344
0.130000,0.000652,0.000000,0.093692,0.021328,0.000000,1.562050,1.562196,0.000000,0.019054,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.152721,0.000000,0.416024,0.000000,11.840504,1.000000,1.000000,0.997883,0.997883,29.936553,717.718331,48.494482,180.000000,180.000000,178.859166,178.859166,12.162162,12.162162,12.085079,12.085079
0.140000,0.000865,0.000000,0.109312,0.025489,0.000000,1.680455,1.680649,0.000000,0.020582,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.146353,0.000000,0.448549,0.000000,11.800493,1.000000,1.000000,0.997889,0.997889,29.936730,717.724689,48.494911,180.000000,180.000000,178.862344,178.862344,12.162162,12.162162,12.085294,12.085294
0.150000,0.001120,0.000000,0.126117,0.029974,0.000000,1.798460,1.798710,0.000000,0.022045,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.140059,0.000000,0.479559,0.000000,11.761200,1.000000,1.000000,0.997922,0.997922,29.937723,717.760343,48.497320,180.000000,180.000000,178.880171,178.880171,12.162162,12.162162,12.086498,12.086498
0.160000,0.001420,0.000000,0.144101,0.034770,0.000000,1.916072,1.916388,0.000000,0.023446,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.133902,0.000000,0.509075,0.000000,11.722418,1.000000,1.000000,0.997973,0.997973,29.939249,717.815163,48.501025,180.000000,180.000000,178.907581,178.907581,12.162162,12.162162,12.088350,12.088350
0.170000,0.001767,0.000000,0.163262,0.039861,0.000000,2.033297,2.033687,0.000000,0.024785,0.000000,0.000000,0.052360,0.000000,10.000000,0.000000,0.127922,0.000000,0.537127,0.000000,11.684004,1.000000,1.000000,0.998035,0.998035,29.941111,717.882088,48.505547,180.000000,180.000000,178.941044,178.941044,12.162162,12.162162,12.090611,12.090611
